suburb,latitude,longitude,postcode,local_government_area
"Quandong, Victoria",-37.845,144.522,3340,City of Wyndham
"Mambourin, Victoria",-37.912,144.549,3024,City of Wyndham
"Williams Landing, Victoria",-37.858,144.739,3027,City of Wyndham
"Little River, Victoria",-37.933,144.5,3211,City of Wyndham
"Cocoroc, Victoria",-37.967,144.622,3030,City of Wyndham
"Wyndham Vale, Victoria",-37.89,144.63,3024,City of Wyndham
"Abbotsford, Victoria",-37.803,145.002,3067,City of Yarra
"Werribee South, Victoria",-37.937,144.697,3030,City of Wyndham
"Manor Lakes, Victoria",-37.873,144.582,3024,City of Wyndham
"Tarneit, Victoria",-37.833,144.672,3029,City of Wyndham
"Point Cook, Victoria",-37.909,144.752,3030,City of Wyndham
"Laverton North, Victoria",-37.83,144.785,3026,City of Wyndham
"Hoppers Crossing, Victoria",-37.869,144.693,3029,City of Wyndham
"Woodstock, Victoria",-37.544,145.056,3755,City of Whittlesea
"Werribee, Victoria",-37.9,144.664,3030,City of Wyndham
"Wollert, Victoria",-37.597,145.033,3750,City of Whittlesea
"Whittlesea, Victoria",-37.51389,145.11389,3757,City of Whittlesea
"Humevale, Victoria",-37.497,145.175,3757,City of Whittlesea
"Eden Park, Victoria",-37.489,145.07,3757,City of Whittlesea
"Beveridge, Victoria",-37.483,144.983,3753,City of Whittlesea
"Thomastown, Victoria",-37.682,145.014,3074,City of Whittlesea
"South Morang, Victoria",-37.633,145.083,3752,City of Whittlesea
"Mill Park, Victoria",-37.671,145.062,3082,City of Whittlesea
"Mernda, Victoria",-37.609,145.093,3754,City of Whittlesea
"Lalor, Victoria",-37.667,145.02,3075,City of Whittlesea
"Forest Hill, Victoria",-37.842,145.172,3131,City of Whitehorse
"Vermont South, Victoria",-37.851,145.183,3133,City of Whitehorse
"Vermont, Victoria",-37.838,145.198,3133,City of Whitehorse
"Mitcham, Victoria",-37.818,145.197,3132,City of Whitehorse
"Burwood East, Victoria",-37.852,145.15,3151,City of Whitehorse
"Epping, Victoria",-37.638,145.01,3076,City of Whittlesea
"Box Hill South, Victoria",-37.836,145.124,3128,City of Whitehorse
"Box Hill North, Victoria",-37.807,145.12,3129,City of Whitehorse
"Windsor, Victoria",-37.854,144.988,3181,City of Stonnington
"Blackburn South, Victoria",-37.838,145.144,3130,City of Whitehorse
"Blackburn North, Victoria",-37.81,145.152,3130,City of Whitehorse
"Blackburn, Victoria",-37.826,145.151,3130,City of Whitehorse
"Box Hill, Victoria",-37.8215,145.126,3128,City of Whitehorse
"Toorak, Victoria",-37.841,145.018,3142,City of Stonnington
"Malvern East, Victoria",-37.878,145.06,3145,City of Stonnington
"Prahran, Victoria",-37.852,144.998,3181,City of Stonnington
"Kooyong, Victoria",-37.84194,145.035,3144,City of Stonnington
"Malvern, Victoria",-37.857,145.036,3144,City of Stonnington
"Armadale, Victoria",-37.857,145.021,3143,City of Stonnington
"South Melbourne, Victoria",-37.835,144.96,3205,City of Port Phillip
"St Kilda West, Victoria",-37.8604,144.9732,3182,City of Port Phillip
"Ripponlea, Victoria",-37.88,144.999,3185,City of Port Phillip
"Middle Park, Victoria",-37.85194,144.96306,3206,City of Port Phillip
"St Kilda, Victoria",-37.864,144.982,3182,City of Port Phillip
"Elwood, Victoria",-37.884,144.986,3184,City of Port Phillip
"Balaclava, Victoria",-37.873,144.993,3183,City of Port Phillip
"Watsons Creek, Victoria",-37.67,145.258,3097,Shire of Nillumbik
"Toolangi, Victoria",-37.533,145.467,3777,Shire of Nillumbik
"Yarrambat, Victoria",-37.64,145.133,3091,Shire of Nillumbik
"Yan Yean, Victoria",-37.571,145.108,3755,Shire of Nillumbik
"Strathewen, Victoria",-37.55,145.267,3099,Shire of Nillumbik
"Albert Park, Victoria",-37.842,144.95,3206,City of Port Phillip
"Smiths Gully, Victoria",-37.619,145.256,3760,Shire of Nillumbik
"St Andrews, Victoria",-37.594,145.269,3761,Shire of Nillumbik
"Plenty, Victoria",-37.669,145.117,3090,Shire of Nillumbik
"Panton Hill, Victoria",-37.643,145.239,3759,Shire of Nillumbik
"Kangaroo Ground, Victoria",-37.686,145.216,3097,Shire of Nillumbik
"Nutfield, Victoria",-37.603,145.181,3099,Shire of Nillumbik
"Kinglake West, Victoria",-37.467,145.233,3778,Shire of Nillumbik
"Kinglake, Victoria",-37.53278,145.34111,3763,Shire of Nillumbik
"Doreen, Victoria",-37.605,145.146,3754,Shire of Nillumbik
"Bend of Islands, Victoria",-37.704,145.267,3097,Shire of Nillumbik
"Wattle Glen, Victoria",-37.663,145.183,3096,Shire of Nillumbik
"Research, Victoria",-37.707,145.18,3095,Shire of Nillumbik
"North Warrandyte, Victoria",-37.726,145.216,3113,Shire of Nillumbik
"Cottles Bridge, Victoria",-37.62194,145.21889,3099,Shire of Nillumbik
"Hurstbridge, Victoria",-37.63889,145.195,3099,Shire of Nillumbik
"Diamond Creek, Victoria",-37.671,145.155,3089,Shire of Nillumbik
"Christmas Hills, Victoria",-37.64889,145.28611,3775,Shire of Nillumbik
"Shoreham, Victoria",-38.427,145.05,3916,Shire of Mornington Peninsula
"Red Hill South, Victoria",-38.384,145.024,3937,Shire of Mornington Peninsula
"Red Hill, Victoria",-38.355,145.016,3937,Shire of Mornington Peninsula
"Point Leo, Victoria",-38.421,145.075,3916,Shire of Mornington Peninsula
"Moorooduc, Victoria",-38.247,145.105,3933,Shire of Mornington Peninsula
"Merricks North, Victoria",-38.354,145.075,3926,Shire of Mornington Peninsula
